,zipcode,city,county,population,medianprice,activelistingcount,avgprice,totalrentals,ratio,latitudes,longitudes
112,11210,Brooklyn,Kings County,64665,699500.0,102,2286.99,96,25.49,40.6281,-73.9467
113,85041,Phoenix,Maricopa County,62152,419450.0,47,1754.91,218,19.92,33.3889,-112.0954
114,80134,Parker,Douglas County,69163,798063.5,49,2443.24,148,27.22,39.4895,-104.8447
115,72401,Jonesboro,Craighead County,58725,164900.0,84,954.06,142,14.4,35.833,-90.6965
116,23322,Chesapeake,Chesapeake City County,64972,532200.0,117,2163.07,14,20.5,36.6434,-76.242
117,93905,Salinas,Monterey County,60531,540000.0,4,2387.4,13,18.85,36.6811,-121.6176
118,30906,Augusta,Richmond County,59609,134950.0,55,1012.35,147,11.11,33.3589,-82.0099
119,78666,San Marcos,Hays County,82923,491633.5,129,1546.29,368,26.5,29.8754,-97.9404
120,79912,El Paso,El Paso County,78267,345000.0,71,1779.44,215,16.16,31.8383,-106.5364
121,78641,Leander,Williamson County,72078,519563.5,130,1963.23,646,22.05,30.5835,-97.8575
122,21234,Parkville,Baltimore County,68381,279950.0,50,1607.82,89,14.51,39.3876,-76.5418
123,93536,Lancaster,Los Angeles County,70237,539950.0,238,2375.31,80,18.94,34.7471,-118.3687
124,95355,Modesto,Stanislaus County,59621,487500.0,29,2003.22,72,20.28,37.6717,-120.9482
125,90003,Los Angeles,Los Angeles County,73730,577000.0,17,4088.0,68,11.76,33.9653,-118.2727
126,92507,Riverside,Riverside County,59152,562500.0,31,3053.23,132,15.35,33.9761,-117.3389
127,28078,Huntersville,Mecklenburg County,61043,523285.0,62,1954.81,270,22.31,35.4011,-80.8695
128,92563,Murrieta,Riverside County,69469,684000.0,57,2641.92,155,21.58,33.569,-117.1783
129,90066,Los Angeles,Los Angeles County,59167,1625000.0,27,5216.47,304,25.96,34.003,-118.4298
130,75043,Garland,Dallas County,62601,320000.0,36,1905.66,193,13.99,32.8565,-96.5999
131,77373,Spring,Harris County,61501,247450.0,102,1616.33,357,12.76,30.0532,-95.3773
132,92703,Santa Ana,Orange County,69112,644500.0,12,2661.16,22,20.18,33.7489,-117.9072
133,99654,Wasilla,Matanuska-Susitna County,64062,472450.0,65,1625.57,143,24.22,61.5923,-149.3959
134,90001,Los Angeles,Los Angeles County,59832,540000.0,19,2303.77,22,19.53,33.9731,-118.2479
135,92114,San Diego,San Diego County,68851,667500.0,26,2658.84,38,20.92,32.7059,-117.0524
136,95630,Folsom,Sacramento County,78159,772000.0,56,2397.45,151,26.83,38.6709,-121.1529
137,60625,Chicago,Cook County,79444,289444.0,106,2162.18,1181,11.16,41.9703,-87.7042
138,33125,Miami,Miami-Dade County,61156,364500.0,76,2614.46,179,11.62,25.7825,-80.2341
139,85364,Yuma,Yuma County,74333,259950.0,45,1591.11,116,13.61,32.7015,-114.6424
140,74012,Broken Arrow,Tulsa County,62622,266950.0,30,1346.3,132,16.52,36.0447,-95.8079
141,33027,Hollywood,Broward County,60679,282500.0,111,3113.45,440,7.56,25.9974,-80.3248
142,30281,Stockbridge,Henry County,68456,300000.0,110,1816.39,253,13.76,33.5633,-84.2165
143,75227,Dallas,Dallas County,59924,287500.0,18,1249.43,121,19.18,32.7672,-96.6836
144,11435,Jamaica,Queens County,59605,299000.0,115,2799.21,178,8.9,40.7029,-73.8111
145,10469,Bronx,Bronx County,72384,579500.0,45,2183.18,83,22.12,40.8702,-73.8495
